document_id,clean_text,sentiment
66,held going take theatrical release gunn vision superman past weekend opening week hype subsided movie expected better expected worse movie progressed kept seeing concept stolen movie franchise jarvis iron man jack jack incredibles cast guardian galaxy minus raccoon hammer thor men bit piece corenswet okay see reason use actor prior reboots bring anything story lacking whole lex luther proxy elon bezos zuckerberg got really old really fast felt like bludgeoned every turn daily planet cast could easily reduced three perry jimmy lois rest seemed plot add pointless antagonism finally plot point align start movie end sudden reveal party girl cousin killed u yes gunn set sequel something certainly eager see prior carrier franchise going dark tone man steel felt appropriate pablum missed many beat,NEGATIVE
67,firstly love marvel dc clearly marvel done last odd year different class looking forward movie especially hype review seen however left feeling massively disappointed certain character thought great mr terrific engineer course lex krypto felt annoying earth depiction green lantern plot fine real issue liked visuals understand people said comic book like comic film however superman character naive childish spends film beaten concerned watching fantastic four similar good review,NEGATIVE
68,saw new superman film loved cast spot production value hoping james gunn cast set designer digital artist excelled delivering really need kickass film remind u humanity drive root toxicity form role play large small cape showing appreciative superman compassion extended animal human stranger robot even adversary movie packed action humor whether read superman comic film thrill inspire yes dog want see film,POSITIVE
69,well even begin superman promised next big thing superhero universe guess technically big talking budget sadly end result left one lingering thought huh maybe superman taken day first let talk man steel used seeing superman portrayed know super version felt like running half battery sure maybe filmmaker deep philosophical reason making weaker symbolism trauma gluten intolerance know land instead feeling like invincible hero came across like guy struggling leg day gym lex luthor oh dear normally lex brilliant cold calculating villain nerve steel got someone seemed like verge midlife crisis least public meltdown actor sell role instead master manipulator got cranky tech bro definitely luthor signed think massive budget special effect would least blow away somehow despite throwing money screen visuals felt underwhelming get alien otherworldly battle tricky make look real still expect better seen indie film pull convincing effect half shoestring story wise fine predictable sure fun little twist kept total snooze fest shame decent story beat got buried mediocre acting questionable casting choice honestly whole thing felt like missed opportunity superman really kind film ingredient recipe come together still help enjoy seeing superman big screen even time left wishing good old day maybe next reboot,NEGATIVE
70,watched today cinema brazil loved chemistry clark lois villain also incredible great see three working together never seen nicholas holt play villain phenomenal david corenswet also disappoint superman truly delivered superman remember childhood rachal brosnahan shined incredibly intelligent lois lane crypto cute simply want james gunn great job honestly since seen good dc movie congratulation entire cast everyone worked movie hope sequel,POSITIVE
71,course check movie superman director james gunn grow christopher reeve movie course watched subsequent superman movie well plus lot animated movie though admit superhero genre go genre mean entertainment james gunn deliver entertaining enough rendering character created jerry siegel joe shuster popcorn movie visually pleasing one challenge audience intellect way simply many sub plot narrative felt brushed without director james gunn delving deeper sub plot giving attention time need explored properly brought screen made movie felt rather superficial rushed leaving way many thing answered subpar manner director james gunn simply tried juggle many ball particular good job something really impressed movie cast ensemble lot familiar good talent cast list say think leading actor david corenswet actually carried superman mantle quite well performed nicely movie acting performance movie good think hawkgirl played isabela merced nice addition movie krypto also fun addition franchise guy gardner played nathan fillion mr terrific played edi gathegi much character gallery movie felt somewhat superficial really get know character sure superman clark kent lois lane adoptive parent lex luthor jimmy olson given would know advance never seen superman movie animated movie read comic book writer director james gunn particular thorough job letting newcomer universe fact lot character movie felt two dimensional seemed written many character lacking personality motivation drive etc visually superman nice special effect good looked realistic well realistic would assume movie flying invincible alien person super power superman superhero movie course believable effect make break sort thing thankfully special effect cgi team worked wonder sound good music score good really liked return original superman theme nostalgic felt like belonged superman movie even new one enjoyable popcorn movie sure entertained throughout nearly two hour movie ran overwhelmed awe movie think ever sit watch second time say movie ended sat sense movie potential much felt bit disappointed overall outcome movie rating writer director james gunn movie superman land six ten star,POSITIVE
72,james gunn superman reintroduces man steel fresh energy david corenswet embodies compassionate earnest superman chemistry rachel brosnahan lois lane give emotional centre strong grounding tone lean light hearted hopeful embracing vibrant visuals comic book charm still engaging real world theme like identity power public trust film juggle richly populated world intricate plot thread occasionally feel overstuffed cgi moment falter late game overall bold heartfelt reboot full optimism emotional resonance positioning dc strong new cinematic chapter,POSITIVE
73,superman back seems like forgot left cape one movie find checking phone time see time story strong enough make believe hero bad enough laugh either existed like writer said let make superman movie keep hassle free visual effect pretty good come effect alone enough want story real excitement superman swinging around sky like sightseeing tour really miss red cape go ahead watch expecting kind heroic thrill used bring maybe time pick comic book instead,NEGATIVE
74,superhero movie done james gunn well addition superman david coronswet great imagine superman love gave weakness rise movie feel bit crowded think much issue others thought theme movie great teach u rise weakness kal el stand rest cast also good effect good nothing special felt like emotional needed levity others great job james gunn co,POSITIVE
75,lifelong superman fan general superhero film nerd walked james gunn superman cautious optimism left strange mix nostalgia frustration little disbelief let start positive casting problem david corenswet solid henry cavill still embodies role level gravitas natural presence version quite capture rachel brosnahan absolute standout lois lane witty sharp emotionally grounded perry white casting another highlight felt true character visually cgi phenomenal flight sequence action scene looked slick high budget expected inclusion krypto fun idea real potential add heart execution missed mark leaned little hard gimmicky saturday morning cartoon vibe brings tone honestly movie felt like adult version paw patrol lacked emotional weight grounded storytelling man steel delivered powerfully say snyder tone film depth world building real sense identity one felt forced like trying everything everyone ended thin plot riddled hole contrivance often jumping one set piece next without proper build character motivation felt rushed unclear emotional beat quite land worst james gunn usually brilliant music seemed oddly soundtrack guardian track record expected inspired choice instead felt oddly forgettable bad moment charm glimmer could enough visual spectacle make passable watch pantheon superman film nowhere near man steel rating fun part lacking heart cohesion classic superman soul,POSITIVE
76,story nothing hour wasted try guardian galaxy fails miserably right start seems scripted young teen maybe idea get good review young teen pre teen enjoy movie kept looking time happened developing character viewer like dislike even cgi ai lame time dog scene early movie bad,NEGATIVE
77,gunn superman unfortunately fall category bloated tonally disjointed misfire mistake juvenile irreverence innovation cosplay level spectacle hoult actor considerable talent disastrously miscast lex luthor rather presenting coldly calculating antagonist come expect hoult portrayal strangely juvenile lacking menace presence psychological depth interaction superman veer dangerously close petty bickering befitting playground squabble battle ideological titan lack dramatic tension two one film egregious failure equally concerning corenswet superman whose performance earnest feel emotionally undercooked man steel character bear moral weight fractured world portrayed gravitas moody adolescent impetuous reactive lacking commanding screen presence essential role superman myth awe boy cape little offer term leadership inspiration cgi shockingly subpar visual effect would deemed serviceable early television utterly unacceptable fight choreography mechanical lacking memorable moment costume fall flat uninspired time resembling amateur cosplay camera work manages create brief moment visual flair hinting confident hand behind lens krypto one genuine delight emotionally engaging well animated however goodwill routinely sabotaged film jarring tonal whiplash gunn toilet humor effective ensemble piece like guardian galaxy land grace sledgehammer serious scene undercut toilet humor slapstick neutering emotional resonance rendering pivotal moment emotionally weightless perry white character long revered moral editorial anchor daily planet instead grappling corruption given shockingly shallow motivation personal vengeance luthor alleged affair wife far cry laurence fishburne authoritative nuanced portrayal earlier dc entry introduction justice gang thinly veiled attempt expand franchise universe entirely forgettable character add neither depth excitement scene feel like contractual obligation meaningful contribution story,NEGATIVE
78,interesting movie way watching blender try make soup interesting sure working look away character development virtually non existent unless count superman get haircut arc villain motivation pure unfiltered envy hate superman well plain jealous tragic backstory philosophical conflict garden variety better angst story desperately need time know actually become story right like cake pulled oven way early fully baked little wobbly liable collapse slightest poke movie clearly trying deliver meaningful message fumble delivery thoroughly like watching someone try recite shakespeare riding rollercoaster catch word overall meaning get lost loop de loop let talk dog annoying absolutely paradoxically without dog thing would concluded differently government official classic fence sitter see winning leap onto bandwagon gusto think medal predictable flip flopper mr terrific essentially sheldon cooper superhero costume minus charm plus extra gadget half expected shout bazinga hacking alien tech supergirl meanwhile spends screen time unsympathetic way could introduced way make u root wonder find shoe sunrise,NEGATIVE
79,finally watched superman movie st day st show great experience waited film since announced release wait worth await short review share experience film beautiful david look like superman talk like superman feel like superman every actor perfectly casted based character experience aerial shot action scene great pacing film good bored even second cameo end unexpected really worth time money hype predictable maybe fully aware read lot fan theory way even released full trailer still bothered fresh get chance watch cinema im ready overall great film really capture essence vibe superman every character feel forced stretched scene straight focus superman character journey beginning end excited upcoming future project dc,POSITIVE
80,im huge fan dc character even marvel come characterization live action movie awful would like start saying way better movie anything snyder ever snyders version superman like bad fan fiction happy hear james gunn taking high hope one flat lined hard superman although humanized version feel like super man completely beatable weak depended much sun power know canonically correct definitely overused actually dont mind idea starting middle origin story go route still feel like somewhat introduction character world instead feel like sequel threequel good one problem movie felt crammed many story thread side character comedy relief moment unfortunately gunn brought much insert joke thing get serious marvel love much positive love actor portrayed character great job filling role went see group friend almost u issue agreed probably never even watch unfortunately doesnt give high hope future dc hope gunn brings writer help course correct late,NEGATIVE
81,know felt kid watching new superman movie absolutely loved gonna honest kinda nervous go see ended really loving david amazing superman come henry cavill fan movie seems lighthearted dark moment well made cinematography music action sequence awesome cast overall great everyone great job new superman unique have great element really need see twice definitely need see new superman movie expect dark dc universe zack snyder vibe go empty mind movie enjoy kid cause smiling whole movie tearing whole movie james gunn amazing job,POSITIVE
82,cg graphic color look good movie plot felt real feel emotion arc movie superman could taken villain alot scene rather get beat stopping superman immature idea end serious workaholic lois could interesting romance arc already together movie start slap unnecessary long making scene civilian movie easily manipulated nobody questioned press felt like movie made superman watch,NEGATIVE
83,looking forward movie quite time zero bias far snyder gunn conflict concerned fan superman date favorite iteration character got superman louis series got done watching film hour ago biggest take away wow literally showed bit entire movie start finish trailer literally every single punch superman throw flying trailer already seen going actually watch movie thing left trailer character movie others specifically mr terrific metamorpho green lantern movie would disappointing superman literally either getting as beat telling dog krypto stop start movie end literally krypto ended another thrown element make thing goofy laughable overall love character superman stand kindness hope someone always count alpha save day oh worry superman eliminate threat vibe superman seems like someone absolutely count alpha movie big let really hope universe grows superman strength,NEGATIVE
84,let start saying james gun incredible job directing movie head major movie studio going easy made work movie enjoyable perfect though biggest criticism movie action fairly sloppy moment action real solid felt grand completely put together mind second thing movie could either benefited little bit longer felt like character fleshed wanted regardless weak link entire film david corenswet darn charming superman see growing year go rachel brosnohan good lois relationship david electric screen buy relationship anytime lois clark screen together nicholas holt best lux luther period nathan fillon guy gardener genius genuinely funny edi gahegi mr terrific really stole show action scene good character played perfectly rest cast want see shoutout score really elevating movie man banger course costume design stage design really made world feel like could take place time period colorful charming movie make whole ton money box office need good dcu long way go could ever say dc truly back next dcu movie safely say movie solid ground build upon cheering dc let see got solid p krypto please,POSITIVE
85,hope high admit enjoyed thought would liked small reference original movie like fortress solitude design lois taking insane amount sugar coffee use john williams theme end credit design however throughout movie feel like superman powerful everybody beat ground everybody kick as quite disappointing,NEGATIVE
86,movie tragedy legacy superman acting mediocre honestly worth time watching continues legacy mediocre dc live adaptation lex luther comical best embarrassment character lois lane embarrassed performance justice history character least bit superman shown weak headed buffoon throughout movie superman grew knowing loving see green lantern portrayed fashion stupid as bull cut even make fun movie funny way movie unlike james gunn previous superhero movie funny weak portrays comedy throughout movie come oh finally joke joke poorly movie made conceived written directed acted,NEGATIVE
87,first movie new dcu franchise weird start immediately trusted world metahumans sci fi little world building one reacts monster alien shock awe comic book movie going realistic tone acting good sure imax flying scene cool score forgettable worth second viewing good green lantern pa kent mr terrific clark kent daily planet bad hawkgirl villain war conflict lack character world building mid cameo music plot krypto superman,POSITIVE
88,acting cast action humor cgi special effect plot super good sitting theater genuinely surprised satisfied lois lane movie even reminded margot kidder lois lane original movie first also think new actor superman manly enough however throughout movie proven wrong plus thought handled political real life reference well drew really good comparison figure conflict real world would normally like movie much welcome james gunn new dc universe optimism,POSITIVE
89,movie different hundred superhero movie recent past didnt even feel like watching new movie usual rinse repeat formula movie starting hero stumbling around losing adversary finding inspiration keep fighting throw cliche like world coming end able save till end create engaging storyline sadly failed least neither storyline ea exciting dialogue witty character charming enough make one like movie said nicholas hoult lex luther justice gang might saving grace rather disappointing ensemble cliched superhero trope,NEGATIVE
90,expected pleasantly entertained nonetheless beginning something bigger film make tear like others film gave one laugh loud moment somehow still found watchable lex brilliantly cast trace beast act evil plan built government support come undone superman though helped team effort including daily planet investigative journalism superman busy stopping unnecessary war lex cracking hole fabric space kryptonian republican parent unscrambled message son demand lead iron fist earthly upbringing conflict demand superdog steal every scene lot difference superman film except essence alien saviour plucked comic except parent message lost point get emotionally attached anybody killed film could gotten background russian roulette dude helped superman death quick contemplate clark lois perfectly cast portrayed politically hit quite number point questioning government ally deal made behind official door film afraid ask necessary question use something somebody dna create clone without legal control like sheep cloning ancient plant cloning genetically enhanced food put microscope even dna manipulation unborn baby put u consider lex either murdoch musk trump caricature amalgamation three unwavering determination win control enforce override humanity may matter many innocent people suffer goal important obsessed overpowering superman throwing tantrum cry goal thwarted lex manipulates government provide piece land conduct experiment imprison dissenter sight mind literally split fabric reality bit like aligator alcatraz offshore detention centre superman receives letter child suffers fear nuclear war superman take matter hand like superman iv destroys nuke around world stop one nation invading inferior one government displeased public support extraterrestrial lex us ai decipher kal el parent message result turn public opinion like truth social twitter number current divisive account turn society science peace love community superman see human one unlike peacemaker example bit gaslighting clark lois allowed interview subtle apologised later though showing growth finally history revealed false superman dilemma parent message supposedly deciphered change essence clark kent instilled embrace warmongering ancestor compassion win james gunn given u colourful fantastical superhero film many underlying ethical conundrum hidden plain sight interpret matter,NEGATIVE
91,start saying biggest fan cavill snyders superman attempt heard portrayal would hopeful comic accurate said definitely dark take man hope brought something table already seen marvel since first iron man much goofiness mess would come year ago would awesome instead brings u movie feel little tiresome uncreative overfed movie last year justice gang movie yes call superman movie justice gang movie reminds guardian galaxy justice league like adoption krypto dog became much krypto reminded lot dog version groot gotg fact lot character similar character guardian galaxy felt little lazy uncreative hand guardian galaxy movie good color lighting angle cgi joke even music felt like came directly gotg type movie work unfortunately superman made miss reeve superman would take gunn snyder superman throw blender result would awesome fell little far ditch gunn silly snyder depressing like one also wishing new remake,NEGATIVE
92,got watching james gunn superman official start dcu nd entry first one creature commando thought film unique enjoyed ton aspect film however issue film said think intriguing solid entry dcu universe currently bit difficult time writing review transition prior dceu ending pseudo rebirth however time go wish could gotten sequel henry cavill version hopeful worried film release got trailer looked promising still concerned interpretation would bring seen review film visual feast bursting color vibrancy mysticism introduces plethora interesting character populate new world character like mr terrific edi gathegi guy gardner nathan fillion hawkgirl isabela merced metamorpho anthony carrigan ultraman engineer maria gabriela de faria hammer boravia film unfolds weave complex web multiple storyline keeping audience engaged intrigued film serf powerful reminder concept hope notion often get lost society however movie extensive plot make bit disjointed yet familiar dc comic dc filmography film treasure trove dc mythology shying away rich lore film political storytelling robust delving deep political intrigue surrounding kal el journey earth introduces u conflict boravia jarhanpur using metaphor real world dispute palestine israel recently iran film also present u multiple scene depict boravian president dehumanizing view jarhanpurian people wished film delved politics showed jarhanpurian country political narrative thought provoking aspect film however feel film approach conflict tell u rather show u want extended cut film explores importance humanitarianism showcase theme humanity kindness throughout film also feature several moment showcasing superman kindness including saving smallest creature believe film significantly expands meaning superman highlighting challenge versatility human kindness acting well done especially newcomer david cornswet acting work interpretation superman absorbing see interpretation someone want guide humanity toward kindness humanity however wish got see parent lot neva howell pa kent pruitt taylor vince lara angela sarafyan jor el bradley cooper especially run time film hour minute placement superman story integral place universe film teased toward u suggesting must extended cut give u time importance kal el life also know superman new character world striving good world david acting film feel like clark kent superman charisma mannerism especially combat however cannot shake feeling backstory audience given especially kryptonian parent barely appear film question must answered find lois clark romance enjoyable met also relationship keep strong however think newcomer might feel rushed got together lois lane rachel brosnahan fun witty ton charm character lois lane past interpretation still feel character explaining hesitant clark troubled idea relationship film many storyline highly recommend turning phone pay attention every detail story complex could say film delf comic lot happening woven together making intricate intelligent even maddening naked eye believe newcomer read comic difficult pill swallow struggle understand lore especially back forth side plot someone following story easily get lost enjoyed seeing mr terrific guy gardner film especially back forth banter mr terrific edi gathegi delivers impressive mic drop scene carrying weight one smartest character dc universe sphere even film somewhat joke around personality excited see character future installment guy gardner nathan fillion play perfection compassionate douche character however hopeful see interpretation especially since hal jordan john stewart featured upcoming lantern show hawkgirl isabela merced feel presence could amplified incorporating power history larger hawkman hawkgirl storyline applied metamorpho feel needed screen time show got captured lex luthor however enjoy part justice gang likely justice league later batman get involved film music unique blending score john williams film david fleming john murphy hopeful score evolve following film overall film going surprise many people yes first film head mysticism superman dog krypto superdog superman robot film feature engaging fight scene along good amount quiet moment lend film serious tone time added humor provides bit levity also first film center around relationship lex luthor nicholas hoult superman exploring dynamic brain v sympathy also first film see jimmy olsen skyler gisondo integral part daily planet entourage issue film feel rushed introducing new universe rather introducing character one time establishing settled universe however james gunn mentioned multiple time interpretation would set world god monster however feel like first entry like jumping middle universe good bad excited see happens next overall think good start dcu intrigued seeing supergirl woman tomorrow film continues push make u audience think persevere toward better future give superman,POSITIVE
93,think time give zackverse good rest zack snyder dceu brooding fever dream mistook grimdark gravitas good riddance enter superman shiny new cornerstone dc universe james gunn slap big red accessibility say let make fun reboot lighter kryptonite free clark kent tone welcoming practically hand popcorn seat gunn masterstroke sidestep tired trope superman floating fistfight instead endless sky brawl leave audience numb cgi budget weeping film cleverly toggle two grounded set piece metropolis street skirmish feel like superpowered bar fight tense cerebral bunker showdown keep stake human smart storytelling sly middle finger flying god punching endlessly fatigue plagued genre oh keep stunt budget spiraling wayne enterprise territory pacing stumble like clark tripping cape minor gripe superman love letter newbie wink fan delivering man steel relatable deity blast worth catching theater plant hopeful flag dcu future move zack shadow officially retired,NEGATIVE
94,plot hated plot present day comic book era vision christopher reef superman came mind lame plot one wanted like stayed end credit help like better batman robin george clooney made superhero comical sarcastic less admirable less appealing previous batman movie similar choice make ditzy girlfriend lex luthor disobedient uncontrollable dog lois driving mr terrific ship green lantern laughable love nathan fillion like quality cinematography music could make ridiculous plot,NEGATIVE
95,wanted love movie however weak hit right note music score average make feel create swell emotion best part movie relationship clark lois yet many sub plot needed superman feel like superboy clark kent suit portrayed wuss lex luther character made little sense act like big petulant baby whole time yelling combo rip apart fabric world ultraman weak version zod,NEGATIVE
96,understand people movie kind thing wanting see dc long completely embrace fantastic concept premise decade worth story ability quirk character instead trying ground anything anyone easier digest average person else get characterization titular character mostly right feel good tone movie nothing say political situation world currently dealing push specific political rhetoric also bonus however even someone appreciated movie far home run dc studio superman written directed produced james gunn tonally narratively mess start finish far much plot mumbo jumbo little build come across served entire fast food menu one spoonful something big happens something big happens enough breathing room really digest result come across pretty overwhelming quality filmmaking inconsistent like getting best worst james gunn writer director soon figure exactly strength weakness cannot help subversive absurdist comedy hinders attempted verisimilitude rush section feel impactful emotionally include popular song make scene stand complaint cast though david corenswet fantastic clark kent superman rachel brosnahan excellent lois lane nicholas hoult moment lex luthor edi gathegi anthony carrigan mar gabriela de far total scene stealer making want see lot one weak link cast think may nathan fillion much pain say play part fine problem little old someone like guy gardner someone like glenn powell wyatt russell would better option worst thing movie walk away thinking new dc cinematic universe allow much diversity storytelling based film creature commando animation second season peacemaker seems like general approach dc studio going action comedy tiny droplet drama style storytelling established far work well character like batman wonder woman martian manhunter let alone like john constantine see supergirl lantern clayface turn far given best impression,NEGATIVE
97,man steel watched clark grow saw relationship adoptive parent earth followed lois lane relentlessly pursued truth superman identity even putting life line film also introduced u kal el biological parent right fall krypton well general zod crew including motivation rebellion new superman dropped right middle thing without knowing anything anyone instead discovering thing gradually natural progression story simply told everything instead sorry dear james gunn done film entertaining time genuinely engaging lack depth emotional weight truly great movie need tell actor trying performance good especially david corenswet without emotional connection character playing solid acting alone enough movie bad good either opinion james gunn mostly blame,NEGATIVE
98,james gunn superman reminded character stood test time first time year saw version superman god among men man trying good complicated world film gave struggle heart sense emotional weight missing recent portrayal see pain doubt compassion yet never let stop right even darkest moment still reach hope something beautiful idea one small save even squirrel hit hard cried watching action spectacle though superman supposed stand empathy courage unwavering hope massive step forward colder detached version got zack snyder one feel like superman thank james gunn,POSITIVE
99,start shorter idea grows old comic chield movie superman believe like version superhero came see movie without expectation gunns superman combination mcu conception sh justice league need bring main character together quick possible mcu already bla bla bla last one understand watching story funny sometimes curious nothing gunn said want tell origin character mostly true miss one small sarcasm thing motivation want make spoiler say hear good character line mb old character lot glad see like movie superman guy gardner nathan fillion perfect cast like comic want kick next moment aah okay okay great character need scene trailer gave important role cgi gosh meme horrible look true blurred facerig cgi body strange gunns love show character face close possible run fly never pls tonn moment everything move quickly element look blurry feel like someone want minimize price budged one thing movie made start love man steel superhero movie snyder great fan gave life comic world lot bad thing happen god exist among u chance better,NEGATIVE
100,fun time visually beautiful little overpraised probably due lack even half decent superhero movie recently film good come close bearing memorability three guardian galaxy film however score top notch appreciate version superman actually as kicked,POSITIVE
101,enjoyed live iteration superman tyler hoechlin probably surprising david corenswet however amazing job role first time nearly year true duality clark kent superman thought demeanor charisma point incredibly relatable superman human superman personally enjoy character chemistry david rachel phenomenal number character presented movie blended mostly background slightly forefront necessary fantastic end superman movie exactly got nicolas holt amazing lex luthor sense envy hatred coming character felt screen cinematography action sequence would expect james gunn score cannot say enough score nostalgia yet reinvigorating brilliant piece worried watching movie irrelevant actual screening seen see theater,POSITIVE
102,big fan superhero movie biased dc marvel went movie hoping something fantastic took year old seen lot movie year first movie sat said bored overall enjoyed movie interesting see rest universe lot action start bit boring middle end action crypto bit good cameo okay apart overall okay kind movie superman cousin fantastic end,POSITIVE
103,james gunn prof one best director superhero genre give humanity character portrays always hero pure altruism hope cinematography special vibrant color convey essence superman big screen highlight performance nicholas hoult lex luthor david corenswet superman among best film lesson properly adapt comic book character notable performance include rachel brosnahan lois lane virtually member justice gang give vibe classic hero presence respectable inspiring cgi something sometimes good time well known fisheye lens effect look good scene others especially beginning film one aspect may convince many others film throw middle something already developed negative aspect film feel like watching four hour episode series decide start halfway superman fan like surely easy understand situation film throw simply beautiful genuinely good film excellent start new dcu universe continues tone comic book adaptation soul put film could dc grand return forever turning back,POSITIVE
104,beginning film lacked real character felt lost enjoy new superman movie really think worst one ever seen feel bad new actor playing superman real feel actor felt like know going sense role play along much cgi action everything fake result movie total let happy new superman movie terrible nothing felt right result movie awful asked money back waste time going see movie,NEGATIVE
105,honestly walked theater hoping epic thrilling superman experience got instead shallow childish parody iconic character represent start finish film felt like saturday morning cartoon serious superhero movie let start villain lex luthor supposed menacing brilliant threatening portrayal laughably weak actor lack charisma gravitas someone like jesse eisenberg even subtle sinister interpretation could brought instead got caricature villain flat unconvincing new superman compared henry cavill version fall painfully short cavill exuded sense strength presence nuanced emotion made character believable last son krypton iteration however mediocre best performance lack depth character gravitas almost non existent supporting cast much better lois lane character compelling strong underwhelming chemistry tension stake missing leaving little background accessory visually film mess camera work feel uninspired action sequence epic thrilling instead look like child animated show cgi top cartoonish completely erasing sense danger realism overall movie fails every level matter sanitized childish hollow take character potential awe inspiring looking superman film depth gravitas villain actually scare look elsewhere disappointing disservice legacy superman,NEGATIVE
106,saw amazon sponsored preview tuesday july came away disappointed finding worst version since reef story largely incoherent monster appeared without rhyme reason dc comic fan lacking proper background figure superman enemy ally film part esp parallel world dark difficult see going attempt inject quite lot humor story felt hand positive good joke esp relationship lois clark liked fact reprise entire origin story alluded passing corenswet plausible superman although suit tight usual appeared obvious padding flying scene visceral thrilling whole thing felt dominated ai offputting probably worth seeing theater must predict modest financial success killer,NEGATIVE
107,someone saw trailer immediately fell love movie distinctive messaging behind thinking superman sat watched movie must say severely disappointed yes may put expectation high cramped scene plot development one thing thrown honestly would given another min let u reflect movie would enjoyed much bad movie lex luther amazing superman great,NEGATIVE
108,film mark bold attempt reboot dc cinematic universe balanced approach myth humanity classic superhero movie everyone need see hero searching meaning skeptical world without giving hope essence character david corenswet take mantle respectable presence build clark kent performance solid though sometimes bit restrained script seek update superman mythos without disconnecting essence visually film find middle ground dark realism previous version colorful lightness classic comic action scene competent grandiose may disappoint audience precisely film main problem arise lack striking action moment something essential story superhero like superman villain functional underdeveloped leave much impact furthermore narrative pacing uneven start strong loses steam midway regains intensity end also noticeable lack deeper insight clark life reporter aspect could enrich humanity generate relevant discussion greatest merit new superman perhaps restoring character humanity relevance god among men man trying right thing despite burden symbol ultimately superman film fulfills role reboot well revolutionize plant promising seed bringing back hope central theme balancing myth man behind cape delivers superman closer home perhaps exactly dc needed right,POSITIVE
109,since gotten superman movie know wanting one opinion movie alot flaw superman feel like superboy story lot inconsistency jump place actually quite ridiculous time writing decision scene make absolutely sense wow really expect movie like shooting baby understand mean watch movie wasnt bad tho enjoy action scene mr terrific favorite character far special effect also great also like david superman casting good would honestly rather go back watch superman lois smallville man steel watch,POSITIVE
110,watched new superman film good superman hopeful loving always saving humanity go way minimize collateral damage kill anybody superman david corenswet give excellent performance superman rachel brosnahan also amazing lois lane entire cast great job overall filmmaking beautiful time love comic book visuals cinematography give superman unique visual aesthetic comparison superhero film complaint much humor mcu dialogue sometimes funny also feel derivative time also like superman biological parent portrayed film apparently send superman earth help humanity conquer humanity felt like james gunn borrowing invincible instead superman comic faithful comic kinda left bad taste mouth overall good film optimistic joyful faithful depiction superman james gunn great job best choice almost superhero film also great job juggling many different superheroes villain rating superman almost good original superman film,POSITIVE
111,weird film overfilled empty many character many set ups depth real world building gravitating aspect made film tension fall flat watch see nothing metropolis get torn apart see people ground struggling get see ash building dirt face cleaned film fortress solitude also example clean blank look film almost shadow lighting hitting across room epic otherworldly feeling word feel like watching comic book adaptation maybe good adaptation early superman comic feel immersive cannot get glimpse reality thematically fall flat character wired together lex superman basically share connection stand feel like two seven year old talking prominent problem script like child wrote superman return far great movie film lex superman meetup feel grown real motivated batman superman scene even feel biblical cause character jessie eisenbergs lex narrative bit depth goal understandable jealous like lex film point audience member filmmaker want good evil want grey zone want character deconstructed every way want comic book accuracy fan service anything even slightly copying john williams superman theme adapt copy something experience something new worst thing film true focus story little bavaria little bit kal el parent also louis clark drama grandpa grandma justice gang lex ultimate lifeform much would rather wanted superman character study joke every movie nowadays treat every serious emotional scene like joke afterwards would rather wanted rather feel laugh guess good superman film huge superman fan far good movie opinion would maybe richard donner back day already peaked colorful bright idea image superman,NEGATIVE
112,new superman movie captivated powerful storytelling emotional depth fresh yet faithful take iconic hero renewed love character storyline reimagines clark kent david corenswet journey perfect balance heart heroism humanity explores struggle find place divided world staying true value protecting love superman get drawn conflict home abroad action questioned giving tech billionaire lex luthor nicholas hoult opportunity get man steel way good lois lane rachel brosnahan superman four legged companion krypto able help late superman delivers bold emotionally take man steel blending storytelling epic superhero spectacle film blend intense action deeply emotional moment showing superman strength compassion vulnerability powerful performance stunning visuals story grounded hope make unforgettable experience david corenswet perfect superman radiates hope strength heroism rachel brosnahan shine sharp fearless lois lane real chemistry anchor film supporting cast nathan fillion witty green lantern isabela merced fierce hawkgirl edi gathegi brilliant mister terrific add energy every scene appear nicholas hoult lex luthor terrifying brilliant standout scene like superman emotional heart heart pa kent final showdown twisted clone showcase film range high stake action quiet powerful moment director james gunn craft movie using warmth wit stunning visuals redefine superman new generation film message true strength lie power compassion integrity courage right even world doubt emphasizes importance hope belonging choosing kindness divided often cynical world core film reminds u hero start staying true value give superman star recommend age plus adult see superman theater beginning july carter kid first,POSITIVE
