model,json_file,section,BERTScore_F1,BERTScore_P,BERTScore_R,F,R,A,C,U
hishab/titulm-llama-3.2-1b-v1.1,63ai9has.json,caveats_recommendations,-0.5607770681381226,-0.45279768109321594,-0.6685043573379517,1,5,1,1,1
hishab/titulm-llama-3.2-1b-v1.1,ez2nx1wv.json,model_details,-0.12281030416488647,-0.1816713511943817,-0.06622391939163208,5,5,5,5,5
hishab/titulm-llama-3.2-1b-v1.1,ez2nx1wv.json,intended_use,-0.16674011945724487,-0.007417409215122461,-0.31962957978248596,5,5,5,5,5
hishab/titulm-llama-3.2-1b-v1.1,ez2nx1wv.json,generative_capabilities,-0.15312008559703827,-0.013841845095157623,-0.2882659137248993,5,5,5,5,5
hishab/titulm-llama-3.2-1b-v1.1,ez2nx1wv.json,safety_considerations,-0.6081812977790833,-0.5629119873046875,-0.6576418876647949,1,5,1,5,1
hishab/titulm-llama-3.2-1b-v1.1,ez2nx1wv.json,training_data,-0.19937899708747864,-0.10851427912712097,-0.29063549637794495,5,5,5,5,5
hishab/titulm-llama-3.2-1b-v1.1,ez2nx1wv.json,performance_metrics,-0.1396540105342865,-0.012153047136962414,-0.2642281949520111,5,5,5,5,5
hishab/titulm-llama-3.2-1b-v1.1,ez2nx1wv.json,ethical_considerations,-0.6410433650016785,-0.6336950063705444,-0.6536847352981567,1,5,1,5,1
hishab/titulm-llama-3.2-1b-v1.1,ez2nx1wv.json,caveats_recommendations,-0.21572156250476837,-0.058854639530181885,-0.3665076196193695,5,5,5,5,5
facebook/mms-tts-nld,bd4bepej.json,model_details,-0.09938931465148926,-0.09386234730482101,-0.10847099125385284,4,5,5,5,4
facebook/mms-tts-nld,bd4bepej.json,intended_use,-0.09761184453964233,0.15824289619922638,-0.3322051763534546,5,5,5,5,5
facebook/mms-tts-nld,bd4bepej.json,generative_capabilities,-0.16082890331745148,-0.06139420345425606,-0.25990498065948486,4,5,4,5,5
facebook/mms-tts-nld,bd4bepej.json,safety_considerations,-0.6509696841239929,-0.6471314430236816,-0.6601607203483582,1,5,1,5,1
facebook/mms-tts-nld,bd4bepej.json,training_data,-0.2295210212469101,-0.19189894199371338,-0.2704845368862152,5,5,5,5,5
facebook/mms-tts-nld,bd4bepej.json,performance_metrics,-0.6509696841239929,-0.6471314430236816,-0.6601607203483582,4,5,4,5,5
facebook/mms-tts-nld,bd4bepej.json,ethical_considerations,-0.6997406482696533,-0.7470439672470093,-0.657017171382904,1,5,1,5,1
facebook/mms-tts-nld,bd4bepej.json,caveats_recommendations,-0.591052234172821,-0.521192193031311,-0.6637428998947144,4,5,4,5,4
facebook/mms-tts-nld,zhyapdsw.json,model_details,-0.11409921199083328,-0.13286034762859344,-0.09884615242481232,4,5,4,5,4
facebook/mms-tts-nld,zhyapdsw.json,intended_use,-0.6223328113555908,-0.585810124874115,-0.6634316444396973,1,5,1,5,1
facebook/mms-tts-nld,zhyapdsw.json,generative_capabilities,-0.6509696841239929,-0.6471314430236816,-0.6601607203483582,1,5,1,5,1
facebook/mms-tts-nld,zhyapdsw.json,safety_considerations,-0.6509696841239929,-0.6471314430236816,-0.6601607203483582,1,5,1,5,1
facebook/mms-tts-nld,zhyapdsw.json,training_data,-0.24652647972106934,-0.1877409666776657,-0.30782368779182434,5,5,5,5,5
facebook/mms-tts-nld,zhyapdsw.json,performance_metrics,-0.6509696841239929,-0.6471314430236816,-0.6601607203483582,1,5,1,5,1
facebook/mms-tts-nld,zhyapdsw.json,ethical_considerations,-0.6997406482696533,-0.7470439672470093,-0.657017171382904,1,5,1,5,1
facebook/mms-tts-nld,zhyapdsw.json,caveats_recommendations,-0.591052234172821,-0.521192193031311,-0.6637428998947144,1,5,1,5,1
facebook/mms-tts-nld,zp6swk2r.json,model_details,-0.029556477442383766,0.1123998612165451,-0.1669023633003235,4,5,4,5,4
facebook/mms-tts-nld,zp6swk2r.json,intended_use,-0.14225363731384277,0.1311878263950348,-0.3910093903541565,1,5,1,5,1
facebook/mms-tts-nld,zp6swk2r.json,generative_capabilities,-0.21432693302631378,-0.0024681068025529385,-0.412346750497818,1,5,1,5,1
facebook/mms-tts-nld,zp6swk2r.json,safety_considerations,-0.30431684851646423,-0.11291031539440155,-0.48501482605934143,1,5,1,5,1
facebook/mms-tts-nld,zp6swk2r.json,training_data,-0.23234736919403076,-0.0793844610452652,-0.37971991300582886,5,5,5,5,5
facebook/mms-tts-nld,zp6swk2r.json,performance_metrics,-0.3013290762901306,-0.1776580661535263,-0.4227416515350342,1,5,1,5,1
facebook/mms-tts-nld,zp6swk2r.json,caveats_recommendations,-0.2579922378063202,-0.07720678299665451,-0.429590106010437,1,5,1,5,1
facebook/mms-tts-nld,v239moft.json,model_details,0.006432491820305586,0.03862514719367027,-0.028533529490232468,4,5,4,4,4
facebook/mms-tts-nld,v239moft.json,intended_use,-0.08407197147607803,0.18744418025016785,-0.3314093053340912,3,5,3,5,3
facebook/mms-tts-nld,v239moft.json,generative_capabilities,-0.38692671060562134,-0.24504831433296204,-0.5247086882591248,1,5,1,5,1
facebook/mms-tts-nld,v239moft.json,safety_considerations,-0.6509696841239929,-0.6471314430236816,-0.6601607203483582,1,5,1,5,1
facebook/mms-tts-nld,v239moft.json,training_data,-0.2426515817642212,-0.1915186494588852,-0.29664599895477295,3,5,3,4,3
facebook/mms-tts-nld,v239moft.json,performance_metrics,-0.6509696841239929,-0.6471314430236816,-0.6601607203483582,1,5,1,5,1
facebook/mms-tts-nld,v239moft.json,ethical_considerations,-0.6997406482696533,-0.7470439672470093,-0.657017171382904,1,5,1,5,1
facebook/mms-tts-nld,v239moft.json,caveats_recommendations,-0.591052234172821,-0.521192193031311,-0.6637428998947144,1,5,1,5,1
facebook/mms-tts-nld,6yriaddu.json,model_details,-0.18848854303359985,-0.03332987800240517,-0.3377438187599182,2,5,2,3,2
facebook/mms-tts-nld,6yriaddu.json,intended_use,-0.11176551878452301,0.1610693484544754,-0.36010414361953735,3,5,3,5,3
facebook/mms-tts-nld,6yriaddu.json,generative_capabilities,-0.2474588304758072,-0.03321385011076927,-0.44746485352516174,2,5,2,4,2
facebook/mms-tts-nld,6yriaddu.json,safety_considerations,-0.6509696841239929,-0.6471314430236816,-0.6601607203483582,2,5,2,4,2
facebook/mms-tts-nld,6yriaddu.json,training_data,-0.16801680624485016,-0.01996665634214878,-0.3109742999076843,2,5,2,4,2
facebook/mms-tts-nld,6yriaddu.json,performance_metrics,-0.24653001129627228,-0.10019764304161072,-0.3880710005760193,3,5,3,4,3
facebook/mms-tts-nld,6yriaddu.json,ethical_considerations,-0.6997406482696533,-0.7470439672470093,-0.657017171382904,1,5,1,5,1
facebook/mms-tts-nld,6yriaddu.json,caveats_recommendations,-0.591052234172821,-0.521192193031311,-0.6637428998947144,1,5,1,5,1
facebook/mms-tts-nld,r82c06xq.json,model_details,-0.04719515144824982,0.21807458996772766,-0.2895481586456299,2,5,2,4,2
facebook/mms-tts-nld,r82c06xq.json,intended_use,-0.08368419855833054,0.17741291224956512,-0.32257574796676636,3,5,3,5,3
facebook/mms-tts-nld,r82c06xq.json,generative_capabilities,-0.6509696841239929,-0.6471314430236816,-0.6601607203483582,1,5,1,5,1
facebook/mms-tts-nld,r82c06xq.json,safety_considerations,-0.6509696841239929,-0.6471314430236816,-0.6601607203483582,1,5,1,5,1
facebook/mms-tts-nld,r82c06xq.json,training_data,-0.21045556664466858,-0.1039084643125534,-0.3161637783050537,3,5,3,4,3
facebook/mms-tts-nld,r82c06xq.json,performance_metrics,-0.25767651200294495,-0.09223899245262146,-0.4159925878047943,3,5,3,4,3
facebook/mms-tts-nld,r82c06xq.json,ethical_considerations,-0.6997406482696533,-0.7470439672470093,-0.657017171382904,1,5,1,5,1
facebook/mms-tts-nld,r82c06xq.json,caveats_recommendations,-0.591052234172821,-0.521192193031311,-0.6637428998947144,1,5,1,5,1
facebook/mms-tts-nld,9jb354my.json,model_details,-0.09938931465148926,-0.09386234730482101,-0.10847099125385284,4,5,4,5,4
facebook/mms-tts-nld,9jb354my.json,intended_use,-0.09761184453964233,0.15824289619922638,-0.3322051763534546,4,5,4,5,4
facebook/mms-tts-nld,9jb354my.json,generative_capabilities,-0.16082890331745148,-0.06139420345425606,-0.25990498065948486,5,5,5,5,5
facebook/mms-tts-nld,9jb354my.json,safety_considerations,-0.6509696841239929,-0.6471314430236816,-0.6601607203483582,2,5,2,4,2
facebook/mms-tts-nld,9jb354my.json,training_data,-0.2295210212469101,-0.19189894199371338,-0.2704845368862152,5,5,5,5,5
facebook/mms-tts-nld,9jb354my.json,performance_metrics,-0.6509696841239929,-0.6471314430236816,-0.6601607203483582,2,5,2,4,2
facebook/mms-tts-nld,9jb354my.json,ethical_considerations,-0.6997406482696533,-0.7470439672470093,-0.657017171382904,1,5,1,5,1
facebook/mms-tts-nld,9jb354my.json,caveats_recommendations,-0.21040542423725128,0.07354972511529922,-0.46739014983177185,2,5,2,4,2
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,pe46aexl.json,model_details,-0.4207603335380554,-0.36151450872421265,-0.48298904299736023,4,5,4,5,4
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,pe46aexl.json,intended_use,-0.4056432545185089,-0.19196650385856628,-0.6050617694854736,4,5,4,5,4
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,pe46aexl.json,generative_capabilities,-0.36997178196907043,-0.1592751443386078,-0.5669292211532593,5,5,5,5,5
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,pe46aexl.json,safety_considerations,-0.4236428439617157,-0.2695026397705078,-0.5722475051879883,5,5,5,5,5
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,pe46aexl.json,training_data,-0.4302886426448822,-0.24355831742286682,-0.6070069074630737,5,5,5,5,5
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,pe46aexl.json,performance_metrics,-0.4210697114467621,-0.273438423871994,-0.563964307308197,5,5,5,5,5
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,pe46aexl.json,ethical_considerations,-0.4584600329399109,-0.22076945006847382,-0.6776078343391418,4,5,4,5,4
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,pe46aexl.json,caveats_recommendations,-0.41337326169013977,-0.15257053077220917,-0.6513094902038574,5,5,5,5,5
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,68j0nmeo.json,model_details,-0.36828118562698364,-0.25388920307159424,-0.48144468665122986,4,5,4,5,4
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,68j0nmeo.json,intended_use,-0.6722540259361267,-0.5157427191734314,-0.823113739490509,1,5,1,5,1
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,68j0nmeo.json,generative_capabilities,-0.34170645475387573,-0.07662734389305115,-0.583254337310791,4,5,4,5,4
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,68j0nmeo.json,safety_considerations,-0.4308473467826843,-0.26958540081977844,-0.5856649875640869,5,5,5,5,5
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,68j0nmeo.json,training_data,-0.41767618060112,-0.2230677604675293,-0.6010799407958984,5,5,5,5,5
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,68j0nmeo.json,performance_metrics,-0.4339170455932617,-0.2967635989189148,-0.5675772428512573,5,5,5,5,5
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,68j0nmeo.json,ethical_considerations,-0.43961602449417114,-0.1821000874042511,-0.6748484373092651,4,5,4,5,4
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,68j0nmeo.json,caveats_recommendations,-0.4014734625816345,-0.18407860398292542,-0.6039900183677673,5,5,5,5,5
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,q4yrp5ge.json,model_details,-0.15204188227653503,0.12832103669643402,-0.40632495284080505,2,5,2,3,2
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,q4yrp5ge.json,intended_use,-0.34607505798339844,0.05245814844965935,-0.6893475651741028,3,5,3,4,3
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,q4yrp5ge.json,generative_capabilities,-0.37766221165657043,-0.11594618856906891,-0.6164209246635437,2,5,2,4,2
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,q4yrp5ge.json,safety_considerations,-0.682313859462738,-0.5439251661300659,-0.8173717856407166,1,5,1,5,1
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,q4yrp5ge.json,training_data,-0.24650034308433533,0.1609887033700943,-0.5970860123634338,2,5,2,3,2
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,q4yrp5ge.json,performance_metrics,-0.38077640533447266,-0.10185990482568741,-0.6332440972328186,1,5,1,5,1
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,q4yrp5ge.json,ethical_considerations,-0.709805428981781,-0.6033437252044678,-0.8164446353912354,1,5,1,5,1
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,q4yrp5ge.json,caveats_recommendations,-0.3709401488304138,0.011023527011275291,-0.7019444108009338,1,5,1,5,1
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,094d6rup.json,model_details,-0.28822219371795654,-0.05861550569534302,-0.5009787678718567,3,5,3,4,3
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,094d6rup.json,intended_use,-0.32839155197143555,-0.038671135902404785,-0.5895654559135437,4,5,4,5,4
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,094d6rup.json,generative_capabilities,-0.4108922779560089,-0.18212096393108368,-0.6228060126304626,4,5,4,5,4
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,094d6rup.json,safety_considerations,-0.47264865040779114,-0.29090797901153564,-0.6451175212860107,1,5,1,5,1
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,094d6rup.json,training_data,-0.3765102028846741,-0.09951455146074295,-0.6274688243865967,3,5,3,4,3
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,094d6rup.json,performance_metrics,-0.40699195861816406,-0.2092365324497223,-0.5930578112602234,2,5,2,4,2
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,094d6rup.json,ethical_considerations,-0.709805428981781,-0.6033437252044678,-0.8164446353912354,1,5,1,5,1
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,094d6rup.json,caveats_recommendations,-0.44442784786224365,-0.2137305587530136,-0.6578770875930786,4,5,4,5,4
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,w2w5506r.json,model_details,-0.41660574078559875,-0.252758264541626,-0.5736581683158875,4,5,4,5,4
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,w2w5506r.json,intended_use,-0.4371495246887207,-0.12834686040878296,-0.7127659320831299,2,5,2,4,2
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,w2w5506r.json,generative_capabilities,-0.3869291841983795,-0.13719341158866882,-0.6160035729408264,4,5,4,5,4
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,w2w5506r.json,safety_considerations,-0.682313859462738,-0.5439251661300659,-0.8173717856407166,1,5,1,5,1
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,w2w5506r.json,training_data,-0.42754247784614563,-0.18334315717220306,-0.6520445346832275,4,5,4,5,4
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,w2w5506r.json,performance_metrics,-0.4406772553920746,-0.17020916938781738,-0.6862574815750122,2,5,2,4,2
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,w2w5506r.json,ethical_considerations,-0.709805428981781,-0.6033437252044678,-0.8164446353912354,1,5,1,5,1
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,w2w5506r.json,caveats_recommendations,-0.37764808535575867,-0.04547443613409996,-0.6714569330215454,3,5,3,4,3
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,r5pcxa5s.json,model_details,-0.2957554757595062,-0.072430819272995,-0.503298819065094,3,5,3,3,3
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,r5pcxa5s.json,intended_use,-0.25634756684303284,0.17299211025238037,-0.6225481629371643,3,5,3,4,3
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,r5pcxa5s.json,generative_capabilities,-0.2689720392227173,0.10033348202705383,-0.5913563966751099,4,5,4,5,4
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,r5pcxa5s.json,safety_considerations,-0.682313859462738,-0.5439251661300659,-0.8173717856407166,1,5,1,5,1
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,r5pcxa5s.json,training_data,-0.3846071660518646,-0.16035760939121246,-0.5928236246109009,4,5,4,4,4
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,r5pcxa5s.json,performance_metrics,-0.35617902874946594,-0.11156536638736725,-0.5811510682106018,3,5,3,4,3
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,r5pcxa5s.json,ethical_considerations,-0.709805428981781,-0.6033437252044678,-0.8164446353912354,1,5,1,5,1
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,r5pcxa5s.json,caveats_recommendations,-0.6641094088554382,-0.4902069866657257,-0.8299095034599304,1,5,1,5,1
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,00i85syw.json,model_details,-0.41691336035728455,-0.36132243275642395,-0.4756619930267334,4,5,4,4,4
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,00i85syw.json,intended_use,-0.4056432545185089,-0.19196650385856628,-0.6050617694854736,5,5,5,5,5
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,00i85syw.json,generative_capabilities,-0.3649233281612396,-0.17177945375442505,-0.5470945239067078,5,5,5,5,5
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,00i85syw.json,safety_considerations,-0.4236428439617157,-0.2695026397705078,-0.5722475051879883,5,5,5,5,5
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,00i85syw.json,training_data,-0.4302886426448822,-0.24355831742286682,-0.6070069074630737,5,5,5,5,5
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,00i85syw.json,performance_metrics,-0.4210697114467621,-0.273438423871994,-0.563964307308197,5,5,5,5,5
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,00i85syw.json,ethical_considerations,-0.463613361120224,-0.23526892066001892,-0.675103485584259,5,5,5,5,5
blockblockblock/Yi-1.5-34B-Chat-bpw2.25-exl2,00i85syw.json,caveats_recommendations,-0.41280606389045715,-0.15529900789260864,-0.6480969786643982,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,p0rxxf36.json,model_details,-0.13122686743736267,-0.2566109597682953,-0.0028358083218336105,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,p0rxxf36.json,intended_use,-0.13113822042942047,0.027210727334022522,-0.28313371539115906,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,p0rxxf36.json,generative_capabilities,-0.18176257610321045,-0.10812798142433167,-0.2569064795970917,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,p0rxxf36.json,safety_considerations,-0.6355806589126587,-0.7022190093994141,-0.5723097324371338,4,5,4,4,5
HuanjinYao/Mulberry_qwen2vl_7b,p0rxxf36.json,training_data,-0.10100079327821732,-0.07804233580827713,-0.12728913128376007,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,p0rxxf36.json,performance_metrics,-0.6355806589126587,-0.7022190093994141,-0.5723097324371338,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,p0rxxf36.json,ethical_considerations,-0.684059202671051,-0.7968221306800842,-0.5707809329032898,4,5,4,4,4
HuanjinYao/Mulberry_qwen2vl_7b,p0rxxf36.json,caveats_recommendations,-0.5676789283752441,-0.5658600926399231,-0.5745912790298462,4,5,4,4,4
HuanjinYao/Mulberry_qwen2vl_7b,wa7sqrf1.json,model_details,-0.04881899058818817,-0.05086592584848404,-0.05018606036901474,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,wa7sqrf1.json,intended_use,-0.20711642503738403,-0.08374017477035522,-0.32809561491012573,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,wa7sqrf1.json,generative_capabilities,-0.22405019402503967,-0.09700541198253632,-0.3483608365058899,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,wa7sqrf1.json,safety_considerations,-0.6355806589126587,-0.7022190093994141,-0.5723097324371338,4,5,4,4,4
HuanjinYao/Mulberry_qwen2vl_7b,wa7sqrf1.json,training_data,-0.1370222568511963,-0.08721080422401428,-0.18943990767002106,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,wa7sqrf1.json,performance_metrics,-0.27665966749191284,-0.2093454897403717,-0.34611326456069946,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,wa7sqrf1.json,ethical_considerations,-0.684059202671051,-0.7968221306800842,-0.5707809329032898,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,wa7sqrf1.json,caveats_recommendations,-0.5676789283752441,-0.5658600926399231,-0.5745912790298462,4,5,4,4,4
HuanjinYao/Mulberry_qwen2vl_7b,llkstn3c.json,model_details,0.1815061867237091,0.2013833075761795,0.15914200246334076,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,llkstn3c.json,intended_use,-0.24657133221626282,-0.1077728196978569,-0.3814287781715393,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,llkstn3c.json,generative_capabilities,-0.12246738374233246,0.016493193805217743,-0.25728246569633484,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,llkstn3c.json,safety_considerations,-0.2232598066329956,-0.14275895059108734,-0.3049408197402954,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,llkstn3c.json,training_data,-0.15679967403411865,-0.03219222277402878,-0.2787967026233673,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,llkstn3c.json,performance_metrics,-0.30152544379234314,-0.22310666739940643,-0.3814641237258911,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,llkstn3c.json,ethical_considerations,-0.28975915908813477,-0.18170034885406494,-0.3970131576061249,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,llkstn3c.json,caveats_recommendations,-0.0777902826666832,0.06093185395002365,-0.21232233941555023,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,pudrl90a.json,model_details,0.0345141664147377,0.007750287186354399,0.05839104950428009,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,pudrl90a.json,intended_use,-0.09204071760177612,0.04574328660964966,-0.22575785219669342,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,pudrl90a.json,generative_capabilities,-0.14072762429714203,-0.03158872574567795,-0.24865442514419556,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,pudrl90a.json,safety_considerations,-0.6355806589126587,-0.7022190093994141,-0.5723097324371338,4,5,4,4,4
HuanjinYao/Mulberry_qwen2vl_7b,pudrl90a.json,training_data,-0.1365836262702942,-0.0056104594841599464,-0.26427242159843445,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,pudrl90a.json,performance_metrics,-0.45166411995887756,-0.45135262608528137,-0.4566967189311981,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,pudrl90a.json,ethical_considerations,-0.684059202671051,-0.7968221306800842,-0.5707809329032898,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,pudrl90a.json,caveats_recommendations,-0.05861923471093178,-0.03569893538951874,-0.08473573625087738,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,obt328w6.json,model_details,-0.13561631739139557,-0.017201045528054237,-0.2519741356372833,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,obt328w6.json,intended_use,-0.3016522228717804,-0.19372285902500153,-0.40881481766700745,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,obt328w6.json,generative_capabilities,-0.1597040742635727,-0.029978813603520393,-0.2863115668296814,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,obt328w6.json,safety_considerations,-0.6355806589126587,-0.7022190093994141,-0.5723097324371338,4,5,4,4,4
HuanjinYao/Mulberry_qwen2vl_7b,obt328w6.json,training_data,-0.12160778790712357,0.027335600927472115,-0.2652961015701294,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,obt328w6.json,performance_metrics,-0.14395341277122498,-0.041519876569509506,-0.2457471787929535,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,obt328w6.json,ethical_considerations,-0.684059202671051,-0.7968221306800842,-0.5707809329032898,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,obt328w6.json,caveats_recommendations,-0.5676789283752441,-0.5658600926399231,-0.5745912790298462,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,uxqm334l.json,model_details,0.02646348625421524,-0.009741540066897869,0.05998740717768669,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,uxqm334l.json,intended_use,-0.21214015781879425,-0.06719356775283813,-0.3524084985256195,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,uxqm334l.json,generative_capabilities,-0.11872705072164536,0.003997010178864002,-0.23895354568958282,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,uxqm334l.json,safety_considerations,-0.6355806589126587,-0.7022190093994141,-0.5723097324371338,4,5,4,4,4
HuanjinYao/Mulberry_qwen2vl_7b,uxqm334l.json,training_data,-0.12676431238651276,-0.003533598966896534,-0.2474641501903534,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,uxqm334l.json,performance_metrics,-0.2292134165763855,-0.14535406231880188,-0.31404003500938416,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,uxqm334l.json,ethical_considerations,-0.684059202671051,-0.7968221306800842,-0.5707809329032898,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,uxqm334l.json,caveats_recommendations,-0.5676789283752441,-0.5658600926399231,-0.5745912790298462,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,1vznqdxa.json,model_details,-0.13122686743736267,-0.2566109597682953,-0.0028358083218336105,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,1vznqdxa.json,intended_use,-0.13113822042942047,0.027210727334022522,-0.28313371539115906,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,1vznqdxa.json,generative_capabilities,-0.18176257610321045,-0.10812798142433167,-0.2569064795970917,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,1vznqdxa.json,safety_considerations,-0.6355806589126587,-0.7022190093994141,-0.5723097324371338,4,5,4,4,4
HuanjinYao/Mulberry_qwen2vl_7b,1vznqdxa.json,training_data,-0.10100079327821732,-0.07804233580827713,-0.12728913128376007,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,1vznqdxa.json,performance_metrics,-0.6355806589126587,-0.7022190093994141,-0.5723097324371338,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,1vznqdxa.json,ethical_considerations,-0.684059202671051,-0.7968221306800842,-0.5707809329032898,5,5,5,5,5
HuanjinYao/Mulberry_qwen2vl_7b,1vznqdxa.json,caveats_recommendations,-0.5676789283752441,-0.5658600926399231,-0.5745912790298462,5,5,5,5,5
codellama/CodeLlama-13b-Python-hf,mw2tnd6r.json,model_details,-0.38471415638923645,-0.4791127145290375,-0.2909421920776367,5,5,5,5,5
